# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 2 ] [ window size: 1 ]
# Size                  MB/s        Messages/s
256                   138.28         540155.05
512                   260.70         509171.96
1024                  517.78         505642.44
2048                  967.88         472597.63
4096                 1483.58         362202.42
8192                 2288.74         279387.44
16384                3561.06         217349.60
32768                5966.53         182083.96
65536                8329.00         127090.49
131072              10525.17          80300.66
262144              12061.34          46010.36
524288              11903.50          22704.13
1048576             12281.62          11712.66
2097152             12321.66           5875.42
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 2 ] [ window size: 1 ]
# Size                  MB/s        Messages/s
256                   131.10         512125.03
512                   262.69         513064.71
1024                  521.71         509481.20
2048                  969.79         473531.36
4096                 1486.47         362907.55
8192                 2365.97         288814.18
16384                3416.33         208516.23
32768                5883.52         179550.68
65536                8145.74         124294.09
131072              10830.49          82630.10
262144              12040.54          45931.00
524288              11716.72          22347.87
1048576             12100.75          11540.17
2097152             12257.95           5845.05
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 2 ] [ window size: 1 ]
# Size                  MB/s        Messages/s
256                   132.52         517655.54
512                   261.65         511033.08
1024                  521.71         509481.20
2048                  967.33         472331.53
4096                 1488.40         363379.16
8192                 2363.93         288565.81
16384                3526.34         215230.48
32768                5872.83         179224.61
65536                8279.46         126334.46
131072              10379.12          79186.37
262144              12048.78          45962.46
524288              12292.77          23446.60
1048576             12292.51          11723.06
2097152             12336.65           5882.57
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 2 ] [ window size: 1 ]
# Size                  MB/s        Messages/s
256                   131.55         513850.41
512                   260.70         509171.96
1024                  523.14         510877.47
2048                  948.12         462947.46
4096                 1493.25         364563.58
8192                 2398.17         292745.00
16384                3442.00         210082.84
32768                5734.99         175017.90
65536                8161.46         124533.97
131072              11411.64          87063.91
262144              11666.22          44503.08
524288              11897.22          22692.15
1048576             12189.37          11624.69
2097152             12327.05           5878.00
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 2 ] [ window size: 1 ]
# Size                  MB/s        Messages/s
256                   132.72         518455.38
512                   242.72         474066.57
1024                  514.83         502763.44
2048                  963.00         470213.45
4096                 1487.11         363064.62
8192                 2309.12         281875.27
16384                3386.45         206692.32
32768                5786.29         176583.69
65536                8205.92         125212.45
131072              11756.97          89698.55
262144              11326.41          43206.84
524288              11842.92          22588.58
1048576             12131.45          11569.46
2097152             12337.17           5882.82
