# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 4 ] [ window size: 1 ]
# Size                  MB/s        Messages/s
256                   263.09        1027700.83
512                   533.54        1042063.11
1024                 1009.69         986025.04
2048                 1895.45         925511.85
4096                 2941.76         718202.74
8192                 4696.76         573335.02
16384                6726.08         410527.09
32768                9770.83         298182.10
65536               12172.50         185737.63
131072              12295.01          93803.45
262144              12327.31          47024.97
524288              12326.28          23510.51
1048576             12349.49          11777.39
2097152             12354.54           5891.10
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 4 ] [ window size: 1 ]
# Size                  MB/s        Messages/s
256                   269.57        1053018.42
512                   505.96         988202.97
1024                 1018.37         994500.06
2048                 1880.66         918293.16
4096                 2944.91         718972.19
8192                 4740.09         578624.45
16384                6434.41         392725.09
32768                9839.47         300276.81
65536               11395.38         173879.68
131072              12117.50          92449.19
262144              12290.20          46883.38
524288              12315.32          23489.61
1048576             12320.11          11749.37
2097152             12357.18           5892.36
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 4 ] [ window size: 1 ]
# Size                  MB/s        Messages/s
256                   268.39        1048412.19
512                   524.34        1024093.76
1024                  996.08         972733.21
2048                 1889.97         922839.16
4096                 2954.72         721367.99
8192                 4682.76         571625.76
16384                6631.55         404757.93
32768                9784.74         298606.67
65536               12167.11         185655.42
131072              12164.93          92811.02
262144              12312.39          46968.03
524288              12326.88          23511.66
1048576             12357.84          11785.35
2097152             12359.13           5893.29
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 4 ] [ window size: 1 ]
# Size                  MB/s        Messages/s
256                   271.45        1060339.14
512                   527.15        1029592.88
1024                  975.85         952980.18
2048                 1877.84         916913.02
4096                 2914.93         711652.85
8192                 4685.15         571918.05
16384                6548.22         399671.63
32768                9765.62         298023.20
65536               12148.63         185373.36
131072              12049.77          91932.47
262144              12316.87          46985.13
524288              12316.57          23491.99
1048576             12313.25          11742.83
2097152             12360.24           5893.82
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 4 ] [ window size: 1 ]
# Size                  MB/s        Messages/s
256                   271.75        1061513.19
512                   533.12        1041254.68
1024                 1031.05        1006884.68
2048                 1820.14         888741.41
4096                 2937.36         717128.28
8192                 4658.95         568719.19
16384                6569.74         400985.09
32768                9912.65         302510.21
65536               12134.22         185153.44
131072              12191.57          93014.27
262144              12320.92          47000.60
524288              12319.59          23497.75
1048576             12340.22          11768.55
2097152             12359.41           5893.43
