# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 4 ] [ window size: 1 ]
# Size                  MB/s        Messages/s
256                  1162.37        4540518.54
512                  2162.35        4223339.46
1024                 3263.03        3186555.75
2048                 8365.12        4084532.20
4096                12643.88        3086884.27
8192                16664.32        2034218.37
16384               18908.20        1154064.73
32768               25017.33         763468.30
65536               54464.97         831069.52
131072              65199.71         497434.32
262144              71025.02         270938.93
524288              67564.80         128869.64
1048576             48543.56          46294.75
2097152             38394.85          18308.09
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 4 ] [ window size: 1 ]
# Size                  MB/s        Messages/s
256                  1179.13        4605961.84
512                  2088.74        4079566.20
1024                 3221.73        3146219.60
2048                 7953.64        3883614.81
4096                12585.98        3072750.18
8192                16699.75        2038543.86
16384               19235.68        1174052.90
32768               24960.54         761735.12
65536               54742.92         835310.73
131072              66225.67         505261.74
262144              73549.00         280567.18
524288              69108.21         131813.45
1048576             49788.62          47482.13
2097152             39305.45          18742.30
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 4 ] [ window size: 1 ]
# Size                  MB/s        Messages/s
256                  1237.74        4834932.56
512                  2105.38        4112062.75
1024                 3395.23        3315655.34
2048                 8395.78        4099502.99
4096                12568.72        3068535.16
8192                16318.07        1991952.03
16384               19192.03        1171388.79
32768               24952.04         761475.82
65536               55106.46         840857.84
131072              65422.78         499136.21
262144              72190.84         275386.20
524288              68867.43         131354.21
1048576             50021.85          47704.56
2097152             39830.16          18992.50
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 4 ] [ window size: 1 ]
# Size                  MB/s        Messages/s
256                  1188.92        4644212.04
512                  2083.67        4069670.35
1024                 3410.40        3330464.71
2048                 8299.45        4052467.63
4096                12678.87        3095427.31
8192                16558.91        2021351.33
16384               19323.58        1179417.64
32768               25128.82         766870.80
65536               55058.17         840120.98
131072              65588.64         500401.64
262144              69495.88         265105.73
524288              65798.39         125500.47
1048576             48949.79          46682.15
2097152             38339.11          18281.51
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 4 ] [ window size: 1 ]
# Size                  MB/s        Messages/s
256                  1231.53        4810671.25
512                  2173.29        4244709.93
1024                 3410.40        3330464.71
2048                 8452.58        4127236.41
4096                12614.86        3079801.01
8192                16598.91        2026233.82
16384               19450.06        1187137.17
32768               24915.29         760354.23
65536               54593.43         833029.59
131072              65393.60         498913.57
262144              70374.37         268456.93
524288              66018.15         125919.62
1048576             49420.42          47130.98
2097152             38131.35          18182.45
