# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 16 ] [ window size: 1 ]
# Size                  MB/s        Messages/s
256                   902.07        3523699.87
512                  1840.25        3594235.20
1024                 2095.43        2046313.89
2048                 6788.37        3314631.80
4096                10344.45        2525500.57
8192                 9629.42        1175466.71
16384               12103.33         738728.47
32768               12238.81         373498.80
65536               12323.56         188042.56
131072              12346.70          94197.88
262144              12349.97          47111.40
524288              12350.10          23555.94
1048576             12352.27          11780.04
2097152             12352.76           5890.25
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 16 ] [ window size: 1 ]
# Size                  MB/s        Messages/s
256                   884.56        3455323.65
512                  1798.82        3513323.16
1024                 2089.73        2040752.30
2048                 6864.87        3351986.46
4096                10455.61        2552638.42
8192                 9638.92        1176626.00
16384               12125.35         740072.66
32768               12223.46         373030.38
65536               12316.83         187939.87
131072              12346.86          94199.03
262144              12347.61          47102.41
524288              12355.29          23565.85
1048576             12352.93          11780.67
2097152             12353.56           5890.64
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 16 ] [ window size: 1 ]
# Size                  MB/s        Messages/s
256                   890.49        3478494.96
512                  1825.64        3565708.58
1024                 2123.31        2073541.17
2048                 6755.83        3298746.00
4096                10468.80        2555858.76
8192                 9723.63        1186966.56
16384               12117.33         739583.30
32768               12259.66         374135.20
65536               12318.01         187957.96
131072              12343.48          94173.26
262144              12349.51          47109.64
524288              12355.15          23565.58
1048576             12352.17          11779.95
2097152             12353.14           5890.43
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 16 ] [ window size: 1 ]
# Size                  MB/s        Messages/s
256                   895.25        3497074.73
512                  1839.26        3592311.22
1024                 2124.37        2074582.81
2048                 6791.30        3316064.93
4096                10370.79        2531932.24
8192                 9824.41        1199269.35
16384               12137.31         740802.81
32768               12236.13         373416.97
65536               12310.43         187842.22
131072              12339.31          94141.47
262144              12354.16          47127.38
524288              12354.96          23565.22
1048576             12351.75          11779.55
2097152             12354.32           5891.00
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 16 ] [ window size: 1 ]
# Size                  MB/s        Messages/s
256                   904.47        3533091.45
512                  1848.60        3610551.21
1024                 2082.80        2033987.16
2048                 6766.64        3304024.32
4096                10333.76        2522889.62
8192                 9811.59        1197704.21
16384               12108.74         739058.97
32768               12267.10         374362.17
65536               12321.16         188006.01
131072              12342.19          94163.43
262144              12356.99          47138.16
524288              12350.94          23557.54
1048576             12353.66          11781.37
2097152             12353.03           5890.38
