# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 1 ] [ window size: 1 ]
# Size                  MB/s        Messages/s
256                    68.00         265630.40
512                   133.97         261653.40
1024                  255.96         249958.52
2048                  487.23         237907.20
4096                  684.18         167037.20
8192                 1177.11         143689.76
16384                1765.21         107739.64
32768                2915.55          88975.48
65536                4707.62          71832.57
131072               6803.91          51909.70
262144               8786.25          33516.89
524288              10241.83          19534.74
1048576             11190.67          10672.26
2097152             11713.60           5585.48
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 1 ] [ window size: 1 ]
# Size                  MB/s        Messages/s
256                    65.51         255906.28
512                   117.99         230456.26
1024                  261.25         255127.98
2048                  495.10         241746.63
4096                  731.68         178633.05
8192                 1212.84         148051.68
16384                1788.17         109141.40
32768                2889.80          88189.74
65536                4716.50          71968.15
131072               6847.98          52245.94
262144               8795.39          33551.75
524288              10272.45          19593.14
1048576             11205.79          10686.67
2097152             11715.16           5586.22
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 1 ] [ window size: 1 ]
# Size                  MB/s        Messages/s
256                    65.39         255438.73
512                   131.75         257319.26
1024                  260.78         254663.27
2048                  461.08         225137.09
4096                  740.51         180788.97
8192                 1178.32         143837.59
16384                1772.49         108184.27
32768                2926.10          89297.51
65536                4688.35          71538.53
131072               6779.58          51724.06
262144               8786.95          33519.57
524288              10262.86          19574.85
1048576             11190.10          10671.71
2097152             11715.00           5586.15
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 1 ] [ window size: 1 ]
# Size                  MB/s        Messages/s
256                    66.57         260031.25
512                   134.05         261816.73
1024                  258.58         252516.80
2048                  488.90         238719.64
4096                  712.86         174037.51
8192                 1103.40         134691.84
16384                1773.86         108268.04
32768                2958.22          90277.74
65536                4591.25          70056.86
131072               6769.56          51647.63
262144               8612.81          32855.27
524288              10259.03          19567.55
1048576             11158.59          10641.66
2097152             11710.32           5583.92
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 1 ] [ window size: 1 ]
# Size                  MB/s        Messages/s
256                    63.01         246144.60
512                   130.86         255594.39
1024                  259.51         253432.27
2048                  487.51         238042.22
4096                  741.15         180944.95
8192                 1200.13         146500.31
16384                1753.05         106997.55
32768                2943.02          89813.79
65536                4413.58          67345.92
131072               6588.64          50267.31
262144               8790.47          33532.97
524288              10222.31          19497.51
1048576             11189.25          10670.90
2097152             11714.22           5585.78
