# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 8 ] [ window size: 1 ]
# Size                  MB/s        Messages/s
256                  2013.46        7865088.08
512                  3610.16        7051102.08
1024                 5823.68        5687191.86
2048                14862.28        7256973.67
4096                21559.05        5263440.31
8192                28543.92        3484364.69
16384               34093.38        2080895.01
32768               43219.80        1318963.52
65536               97859.41        1493216.09
131072             117878.49         899341.52
262144             129093.27         492451.76
524288             118401.12         225832.21
1048576             86392.37          82390.18
2097152             46044.86          21955.90
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 8 ] [ window size: 1 ]
# Size                  MB/s        Messages/s
256                  1955.03        7636855.08
512                  3599.76        7030787.22
1024                 5784.47        5648894.28
2048                14305.38        6985049.60
4096                21567.51        5265505.22
8192                29014.69        3541832.12
16384               34053.79        2078478.17
32768               43666.07        1332582.68
65536               97810.44        1492468.90
131072             117571.25         896997.45
262144             128819.14         491406.03
524288             119495.90         227920.34
1048576             87020.03          82988.76
2097152             45979.83          21924.89
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 8 ] [ window size: 1 ]
# Size                  MB/s        Messages/s
256                  1940.68        7580781.02
512                  3466.30        6770124.99
1024                 5864.69        5727233.97
2048                14890.46        7270732.83
4096                21525.29        5255196.87
8192                28805.65        3516314.59
16384               34478.26        2104385.83
32768               43234.67        1319417.33
65536               98716.04        1506287.28
131072             118838.02         906662.13
262144             129067.23         492352.41
524288             118889.22         226763.19
1048576             87186.60          83147.63
2097152             46523.25          22184.02
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 8 ] [ window size: 1 ]
# Size                  MB/s        Messages/s
256                  1979.25        7731435.94
512                  3583.81        6999620.76
1024                 5872.20        5734575.01
2048                14762.51        7208256.07
4096                21605.65        5274817.37
8192                29026.18        3543234.64
16384               34437.76        2101914.15
32768               43476.14        1326786.56
65536               98610.91        1504683.05
131072             118617.67         904980.97
262144             129666.56         494638.66
524288             119375.28         227690.28
1048576             87083.83          83049.61
2097152             46308.02          22081.39
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 8 ] [ window size: 1 ]
# Size                  MB/s        Messages/s
256                  1988.41        7767229.63
512                  3596.94        7025267.10
1024                 5737.38        5602910.79
2048                14866.30        7258936.07
4096                21690.90        5295629.43
8192                29203.50        3564879.89
16384               33969.62        2073340.97
32768               43454.66        1326131.09
65536               98588.80        1504345.75
131072             117894.29         899462.06
262144             128755.50         491163.26
524288             118962.58         226903.11
1048576             87404.82          83355.73
2097152             46120.83          21992.13
