# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 2 ] [ window size: 1 ]
# Size                  MB/s        Messages/s
256                   674.25        2633785.87
512                  1183.19        2310911.29
1024                 1810.31        1767883.67
2048                 4785.48        2336659.61
4096                 6983.69        1705001.63
8192                 8953.68        1092978.24
16384               10539.80         643298.16
32768               13301.62         405933.12
65536               30256.24         461673.53
131072              35715.82         272490.11
262144              39593.50         151037.23
524288              35978.78          68624.08
1048576             25547.02          24363.53
2097152             20859.15           9946.42
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 2 ] [ window size: 1 ]
# Size                  MB/s        Messages/s
256                   664.86        2597092.26
512                  1191.39        2326937.03
1024                 1804.61        1762312.61
2048                 4805.56        2346463.78
4096                 7040.93        1718977.05
8192                 9162.60        1118481.07
16384               10515.60         641821.58
32768               13250.32         404367.70
65536               30181.49         460532.97
131072              36251.62         276577.91
262144              39483.32         150616.90
524288              35147.82          67039.14
1048576             25282.30          24111.08
2097152             20705.46           9873.13
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 2 ] [ window size: 1 ]
# Size                  MB/s        Messages/s
256                   686.10        2680066.45
512                  1188.10        2320500.14
1024                 1681.00        1641606.26
2048                 4772.19        2330168.89
4096                 6997.91        1708474.13
8192                 9174.83        1119974.37
16384               10495.53         640596.26
32768               13212.11         403201.54
65536               30239.59         461419.58
131072              36150.31         275804.96
262144              38431.03         146602.73
524288              34811.20          66397.09
1048576             25316.87          24144.05
2097152             20664.36           9853.53
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 2 ] [ window size: 1 ]
# Size                  MB/s        Messages/s
256                   683.91        2671531.21
512                  1145.32        2236962.13
1024                 1738.85        1698098.79
2048                 4785.48        2336659.61
4096                 7019.35        1713709.50
8192                 9193.24        1122221.81
16384               10443.69         637432.22
32768               13136.34         400889.27
65536               30306.27         462437.05
131072              36096.90         275397.50
262144              39844.60         151995.07
524288              35577.14          67858.02
1048576             25587.15          24401.80
2097152             20863.47           9948.48
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 2 ] [ window size: 1 ]
# Size                  MB/s        Messages/s
256                   688.30        2688656.41
512                  1186.46        2317295.03
1024                 1825.70        1782913.50
2048                 4758.97        2323714.13
4096                 6797.18        1659467.46
8192                 9156.49        1117735.91
16384               10475.53         639375.61
32768               12048.12         367679.51
65536               30635.60         467462.13
131072              36625.97         279433.98
262144              40423.22         154202.35
524288              35396.75          67513.95
1048576             25704.16          24513.40
2097152             20854.45           9944.18
