# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 8 ] [ window size: 1 ]
# Size                  MB/s        Messages/s
256                   518.09        2023789.63
512                  1031.59        2014827.41
1024                 1951.56        1905825.03
2048                 3639.80        1777247.46
4096                 5576.75        1361510.73
8192                 8680.13        1059585.76
16384               11024.61         672888.62
32768               12090.18         368963.16
65536               12121.42         184958.25
131072              12328.05          94055.54
262144              12327.23          47024.64
524288              12361.92          23578.49
1048576             12357.16          11784.71
2097152             12359.05           5893.25
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 8 ] [ window size: 1 ]
# Size                  MB/s        Messages/s
256                   524.90        2050377.76
512                  1023.83        1999668.18
1024                 1963.55        1917533.08
2048                 3618.72        1766952.71
4096                 5667.59        1383687.92
8192                 8942.39        1091600.41
16384               11059.26         675003.66
32768               12046.80         367639.22
65536               12222.91         186506.76
131072              12295.01          93803.45
262144              12356.04          47134.54
524288              12337.29          23531.51
1048576             12335.18          11763.74
2097152             12356.32           5891.95
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 8 ] [ window size: 1 ]
# Size                  MB/s        Messages/s
256                   523.02        2043043.28
512                  1030.74        2013165.26
1024                 1960.19        1914251.27
2048                 3655.29        1784810.21
4096                 5680.18        1386761.67
8192                 8921.71        1089076.01
16384               10998.14         671273.24
32768               12096.50         369155.97
65536               12093.01         184524.70
131072              12322.05          94009.76
262144              12340.24          47074.28
524288              12344.33          23544.95
1048576             12353.63          11781.34
2097152             12360.96           5894.17
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 8 ] [ window size: 1 ]
# Size                  MB/s        Messages/s
256                   521.04        2035298.02
512                  1030.82        2013316.25
1024                 1905.30        1860646.40
2048                 3657.48        1785878.89
4096                 5586.10        1363793.41
8192                 8819.73        1076627.18
16384               11211.50         684295.54
32768               12090.52         368973.30
65536               12086.11         184419.48
131072              12305.20          93881.20
262144              12345.05          47092.62
524288              12358.57          23572.09
1048576             12350.22          11778.09
2097152             12357.85           5892.68
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 8 ] [ window size: 1 ]
# Size                  MB/s        Messages/s
256                   504.55        1970891.75
512                   982.48        1918903.82
1024                 1965.52        1919452.67
2048                 3606.61        1761040.84
4096                 5681.94        1387191.65
8192                 8850.97        1080440.56
16384               10966.60         669348.33
32768               12044.66         367573.78
65536               12104.08         184693.55
131072              12318.98          93986.39
262144              12349.49          47109.56
524288              12356.79          23568.70
1048576             12343.18          11771.37
2097152             12365.29           5896.23
