# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 8 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
256                  5688.04       22218891.61
512                 10479.90       20468551.33
1024                14317.96       13982378.80
2048                17750.61        8667290.16
4096                19888.74        4855649.10
8192                21233.36        2591963.22
16384               16949.82        1034534.89
32768               16882.86         515224.09
65536               72277.32        1102864.34
131072              75535.19         576287.73
262144              69413.99         264793.35
524288              73362.26         139927.41
1048576             60882.22          58061.81
2097152             22607.39          10780.05
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 8 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
256                  5673.51       22162139.84
512                 10494.03       20496145.53
1024                14316.21       13980672.01
2048                17673.57        8629674.24
4096                19888.12        4855498.14
8192                20727.69        2530235.54
16384               16871.11        1029731.12
32768               16810.90         513028.09
65536               72130.49        1100623.87
131072              75542.13         576340.70
262144              69506.37         265145.74
524288              73722.37         140614.26
1048576             56695.78          54069.31
2097152             22932.60          10935.11
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 8 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
256                  5756.00       22484385.38
512                 10657.93       20816261.99
1024                14312.48       13977032.25
2048                16673.71        8141462.15
4096                18519.50        4521363.26
8192                18904.23        2307645.81
16384               16397.40        1000817.86
32768               16175.24         493629.15
65536               72133.35        1100667.59
131072              75682.94         577415.01
262144              69647.34         265683.51
524288              73878.63         140912.31
1048576             61803.71          58940.61
2097152             22371.60          10667.61
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 8 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
256                  5653.96       22085784.49
512                 10453.37       20416738.98
1024                14315.98       13980444.47
2048                17791.45        8687231.59
4096                19966.96        4874745.11
8192                20916.25        2553253.00
16384               16945.89        1034295.10
32768               16862.50         514602.61
65536               72364.56        1104195.54
131072              75208.56         573795.74
262144              69530.08         265236.21
524288              73615.35         140410.13
1048576             63915.71          60954.77
2097152             22451.40          10705.66
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 8 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
256                  5813.98       22710875.90
512                 10412.41       20336741.58
1024                12930.58       12627521.43
2048                14909.96        7280253.41
4096                15952.83        3894734.63
8192                16878.78        2060398.34
16384               15211.10         928411.73
32768               15232.73         464866.06
65536               72429.41        1105185.03
131072              75542.79         576345.73
262144              69481.61         265051.29
524288              73973.42         141093.10
1048576             60191.61          57403.19
2097152             21934.10          10458.99
