# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 16 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
256                  2074.90        8105069.10
512                  2557.43        4994990.20
1024                 2837.14        2770642.77
2048                 2903.96        1417948.05
4096                 2924.30         713939.22
8192                 2855.91         348621.60
16384                3275.75         199935.81
32768                3466.37         105785.07
65536                3468.10          52919.05
131072               3476.96          26527.11
262144               3478.47          13269.30
524288               3473.57           6625.31
1048576              3310.61           3157.25
2097152              3308.27           1577.51
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 16 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
256                  2080.84        8128288.45
512                  2573.40        5026164.25
1024                 2846.15        2779441.87
2048                 2901.25        1416624.79
4096                 2926.63         714508.65
8192                 2871.02         350465.81
16384                3277.54         200045.11
32768                3467.67         105824.75
65536                3467.60          52911.38
131072               3477.27          26529.47
262144               3478.98          13271.25
524288               3473.36           6624.91
1048576              3309.82           3156.49
2097152              3308.98           1577.85
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 16 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
256                  2121.50        8287103.13
512                  2566.75        5013184.27
1024                 2819.16        2753090.41
2048                 2870.27        1401497.87
4096                 2886.62         704741.06
8192                 2832.35         345745.94
16384                3276.07         199955.63
32768                3470.25         105903.72
65536                3468.02          52917.83
131072               3477.40          26530.49
262144               3478.82          13270.63
524288               3474.08           6626.27
1048576              3312.27           3158.83
2097152              3308.62           1577.67
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 16 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
256                  2168.50        8470709.36
512                  2594.56        5067494.10
1024                 2816.08        2750082.61
2048                 2865.89        1399360.28
4096                 2907.65         709874.70
8192                 2851.46         348078.14
16384                3276.60         199987.56
32768                3466.44         105787.26
65536                3467.64          52912.06
131072               3477.21          26529.00
262144               3478.54          13269.58
524288               3472.63           6623.52
1048576              3311.86           3158.43
2097152              3308.60           1577.66
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 16 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
256                  2078.51        8119165.10
512                  2576.33        5031887.17
1024                 2806.66        2740882.04
2048                 2870.09        1401410.41
4096                 2895.03         706793.44
8192                 2863.88         349594.13
16384                3278.61         200110.43
32768                3466.60         105792.37
65536                3467.27          52906.41
131072               3476.77          26525.67
262144               3478.42          13269.14
524288               3473.58           6625.33
1048576              3310.03           3156.69
2097152              3308.41           1577.57
