4B 241.942 365.5 42.254 557.404 36.298 708.446 39.436
8B 247.924 368.892 39.002 562.298 38.478 724.11 46.246
16B 241.642 360.328 37.032 543.996 40.902 722.802 46.538
32B 248.004 369.288 40.932 554.708 46.2 741.622 49.182
64B 274.47 398.606 48.498 570.268 57.858 760.6 54.588
