# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 8 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
256                  2197.64        8584526.34
512                  2634.25        5145013.58
1024                 2903.05        2835013.37
2048                 3024.90        1477000.92
4096                 3087.69         753829.36
8192                 2851.07         348031.09
16384                3360.00         205077.89
32768                3494.51         106643.95
65536                3508.21          53531.06
131072               3507.16          26757.49
262144               3515.00          13408.66
524288               3516.28           6706.76
1048576              3511.19           3348.53
2097152              3329.56           1587.66
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 8 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
256                  2168.13        8469247.81
512                  2649.86        5175501.19
1024                 2890.75        2822994.46
2048                 3012.58        1470987.52
4096                 3111.04         759531.99
8192                 2877.45         351251.72
16384                3364.43         205348.44
32768                3494.68         106649.23
65536                3508.31          53532.59
131072               3506.83          26755.02
262144               3515.02          13408.75
524288               3516.35           6706.90
1048576              3511.37           3348.70
2097152              3334.12           1589.83
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 8 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
256                  2209.43        8630584.65
512                  2653.29        5182198.56
1024                 2895.45        2827584.99
2048                 3016.44        1472869.10
4096                 3110.58         759419.18
8192                 2908.39         355028.23
16384                3359.25         205032.07
32768                3494.82         106653.37
65536                3507.71          53523.44
131072               3507.48          26759.94
262144               3515.07          13408.93
524288               3516.32           6706.85
1048576              3511.40           3348.73
2097152              3334.08           1589.81
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 8 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
256                  2176.56        8502191.97
512                  2640.79        5157787.83
1024                 2897.67        2829760.01
2048                 3014.46        1471905.01
4096                 3103.52         757695.95
8192                 2885.14         352190.12
16384                3364.52         205353.71
32768                3494.97         106657.93
65536                3503.00          53451.51
131072               3512.67          26799.54
262144               3515.70          13411.33
524288               3516.64           6707.46
1048576              3510.39           3347.77
2097152              3334.02           1589.79
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 8 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
256                  2189.95        8554476.29
512                  2644.41        5164858.61
1024                 2891.76        2823987.50
2048                 3019.86        1474541.58
4096                 3111.81         759719.07
8192                 2879.13         351456.01
16384                3362.92         205256.39
32768                3494.43         106641.59
65536                3507.63          53522.11
131072               3507.06          26756.73
262144               3515.23          13409.52
524288               3516.15           6706.52
1048576              3511.26           3348.59
2097152              3331.19           1588.43
