# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 4 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
256                  3719.72       14530150.87
512                  6814.87       13310299.05
1024                 9543.96        9320271.03
2048                14107.83        6888590.51
4096                19026.60        4645166.39
8192                23757.81        2900123.77
16384               29479.99        1799316.00
32768               33566.79        1024377.09
65536               36430.71         555888.55
131072              37842.70         288716.92
262144              36429.09         138965.93
524288              37532.59          71587.73
1048576             37979.72          36220.29
2097152             33834.99          16133.78
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 4 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
256                  3447.29       13465957.97
512                  6193.73       12097136.37
1024                 9193.82        8978337.47
2048                13028.55        6361595.07
4096                17820.11        4350611.62
8192                22678.53        2768374.73
16384               27801.32        1696857.65
32768               33014.49        1007522.41
65536               36353.45         554709.68
131072              38168.25         291200.61
262144              35564.10         135666.26
524288              37545.57          71612.48
1048576             37867.65          36113.41
2097152             33322.62          15889.46
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 4 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
256                  3847.81       15030506.72
512                  6939.83       13554351.30
1024                10191.52        9952651.66
2048                14372.94        7018035.09
4096                19457.37        4750334.35
8192                24686.80        3013525.74
16384               30140.51        1839630.66
32768               33715.96        1028929.38
65536               36281.76         553615.71
131072              38219.40         291590.87
262144              36648.17         139801.67
524288              37553.98          71628.54
1048576             37949.10          36191.08
2097152             33538.92          15992.60
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 4 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
256                  3867.43       15107166.01
512                  6966.87       13607170.50
1024                10143.33        9905595.83
2048                14457.98        7059562.61
4096                19382.34        4732016.32
8192                24446.49        2984191.17
16384               30029.25        1832840.00
32768               33798.14        1031437.42
65536               36333.23         554401.07
131072              37727.03         287834.42
262144              36546.87         139415.26
524288              37076.84          70718.47
1048576             37337.83          35608.13
2097152             33659.40          16050.05
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 4 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
256                  3420.47       13361229.73
512                  6185.02       12080124.03
1024                 9365.72        9146206.90
2048                13093.52        6393318.29
4096                17845.05        4356701.76
8192                22679.84        2768535.34
16384               27914.02        1703736.86
32768               33366.48        1018264.24
65536               36505.17         557024.76
131072              38129.29         290903.38
262144              35586.32         135751.04
524288              37458.08          71445.62
1048576             37911.06          36154.81
2097152             32029.71          15272.96
