# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 2 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
256                  1756.63        6861847.03
512                  3144.88        6142336.39
1024                 4613.21        4505084.43
2048                 6475.91        3162063.27
4096                 8883.87        2168912.50
8192                11675.66        1425251.63
16384               14081.07         859440.37
32768               16504.69         503683.22
65536               18293.94         279143.40
131072              18747.45         143031.70
262144              17452.15          66574.69
524288              21502.67          41013.08
1048576             21630.87          20628.80
2097152             21900.07          10442.77
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 2 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
256                  1824.73        7127866.60
512                  3284.08        6414228.34
1024                 4790.90        4678613.61
2048                 6914.95        3376440.44
4096                 9304.10        2271507.98
8192                11875.54        1449650.76
16384               14709.19         897777.44
32768               19527.13         595920.69
65536               22900.30         349430.92
131072              23960.46         182803.77
262144              21866.36          83413.56
524288              21274.55          40577.99
1048576             21468.49          20473.95
2097152             21712.09          10353.13
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 2 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
256                  1878.86        7339315.27
512                  3348.49        6540028.16
1024                 4769.49        4657709.73
2048                 6968.86        3402762.87
4096                 9343.83        2281208.06
8192                12373.70        1510461.58
16384               14717.55         898288.18
32768               19470.18         594182.82
65536               22833.80         348416.12
131072              23688.31         180727.50
262144              21930.22          83657.13
524288              21207.86          40450.79
1048576             21513.58          20516.95
2097152             21531.07          10266.81
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 2 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
256                  1839.02        7183661.10
512                  3269.83        6386378.54
1024                 4800.31        4687805.39
2048                 6842.44        3341034.99
4096                 9223.12        2251739.17
8192                11867.69        1448692.39
16384               14593.39         890709.86
32768               19717.10         601718.07
65536               22835.13         348436.47
131072              23607.97         180114.51
262144              22085.27          84248.61
524288              21476.27          40962.73
1048576             21710.54          20704.78
2097152             21666.71          10331.49
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 2 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
256                  1876.43        7329796.05
512                  3344.22        6531673.61
1024                 4833.23        4719951.75
2048                 6898.90        3368601.80
4096                 9347.80        2282177.78
8192                11994.40        1464160.12
16384               14754.34         900533.26
32768               19317.32         589517.80
65536               22926.27         349827.10
131072              23451.95         178924.17
262144              21987.57          83875.92
524288              21199.32          40434.50
1048576             21496.83          20500.98
2097152             21631.45          10314.68
