1B 41.825 47.532 111.789 15.893 14.986 264.445 95.333 27.139 14.149 25.218 13.987
2B 40.996 47.784 112.565 14.361 15.175 263.101 95.618 25.568 14.023 24.386 14.102
4B 41.884 47.967 112.418 14.481 15.466 263.657 96.092 25.592 14.162 24.03 15.167
64B 46.634 57.101 126.933 17.761 26.234 275.825 88.878 30.383 21.622 32.918 25.017
128B 52.548 69.852 128.287 21.468 38.187 280.568 98.616 33.984 26.121 35.839 35.76
512B 78.699 118.378 162.112 35.775 87.599 242.762 105.164 49.746 48.595 55.879 128.227
